Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CO2,4909.3,4869.8,4970.9,5073.9,5159.4,5212.5,5399.7,5472.1,5522.4,5602.8,5772.9,5696.8,5738.4,5793,5901.6,5930.3,5844.9,5919.4,5736.2,5340.7,5518,5381.8,5185.1,5331.6,5375.4,5231.5,5119.8,5081.3,5249.3
Fossil Fuel Combustion,4740,4691,4794.7,4907.1,4982.1,5033.5,5225.9,5289.6,5326.2,5393,5585.1,5516.7,5553.4,5614.2,5704,5740.7,5653.4,5744.7,5558.3,5183.4,5351,5215.7,5016.7,5142.7,5184.8,5031.8,4942.4,4892.2,5031.8
  Transportation,1469.1,1422.5,1477.8,1508.7,1553.8,1580.5,1627.2,1643.3,1678.6,1746,1779.4,1758.4,1799.9,1792.5,1837.2,1856.1,1852.7,1854.9,1760.2,1685.1,1695.5,1670.6,1661.1,1674.1,1713.7,1725.3,1765.3,1787.3,1820.7
  Electric Power,1820,1817.4,1830.7,1906.2,1930.5,1947.2,2020.2,2087.5,2176.6,2189.7,2296,2257.1,2272.1,2303.6,2335,2400,2344.4,2411.1,2359.3,2145.3,2258.6,2158.1,2023.3,2038.3,2037.1,1900.6,1808.9,1732,1752.8
  Industrial,857,840,871.6,869.5,878.8,891.1,926,923.4,886.5,852.1,867.3,863.6,850.2,849.8,874.3,850.1,873.2,866.6,821.9,744.9,794.7,795,805.4,833.9,812.9,801.3,801.4,805,833.2
  Residential,338.2,347.3,353.6,365.6,356.7,352.8,383,364.6,331.2,350.5,370.7,362.1,360.1,379.1,368,357.9,321.4,341.4,348.1,336.6,334.9,326.4,282.7,329.4,346.8,317.8,293.1,293.8,337.3
  Commercial,228.2,232.5,227.9,222.9,224.7,227.7,237.5,237.8,220.1,220.7,236.2,228.1,228.7,239.7,237.6,226.9,211.8,223.6,228.1,228.4,224.9,224.9,200.8,224.7,232.8,245.4,232.3,232.8,246.5
  U.S. Territories,27.6,31.4,33.1,34.2,37.7,34.3,32.1,33,33.2,34,35.5,47.5,42.4,49.6,52,49.7,49.9,47,40.6,43.1,42.4,40.9,43.5,42.5,41.4,41.4,41.4,41.4,41.4
Non-Energy Use of Fuels,119.5,129.6,125.7,116.2,125.4,128.2,123.7,132.3,149.4,162.9,140.3,132.5,136.4,130,148.2,139.7,141,123.4,125.9,106.7,114.3,109.5,108.7,123.5,120,127,113.7,123.1,134.6
Petroleum Systems ,9.6,9.9,9.9,10,10.3,10.8,11.2,11.6,11.5,10.9,11.1,11.2,11.3,11.6,11.9,12.2,12.4,12.6,13.5,13.7,15.5,18,22,26,30.5,32.6,23,24.5,36.8
Natural Gas Systems,32.2,31.2,31.1,30.9,30.8,28.7,26.9,26.7,24.5,25.1,25.3,24.9,25.4,25,25.2,25.3,25.7,26,26.6,25.6,26.1,28,27.3,29,29.6,29.3,29.9,30.4,35
Incineration of Waste,8,8,9.5,9.8,10.8,11.3,11.9,11.8,10.8,11,11.1,11.4,11.8,12.1,12.4,12.5,12.5,12.7,11.9,11.3,11.1,10.5,10.4,10.3,10.4,10.8,10.9,11.1,11.1
Abandoned Oil and Gas Wells,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Biomass-Wooda,215.2,215.3,225,219.3,225,229.1,235.7,228.5,210.4,213.3,218.1,193.5,192.8,193.8,205.1,206.9,202.9,202.3,199.9,188.6,215.5,214.9,208.3,227.3,233.8,224.7,216.3,221.4,229.1
International Bunker Fuelsb,103.5,117.6,107.9,97.8,96.7,98.5,99.7,107,110.5,102.7,101.7,93.7,94.4,98.3,108.4,113.1,114.1,115.3,114.3,106.4,117,111.7,105.8,99.8,103.4,110.9,116.6,120.1,122.1
Biofuels-Ethanola,4.2,4.9,5.6,6.5,7.3,7.8,5.6,7.1,7.8,8.2,9.3,9.8,11.7,16,20.1,22.9,31,38.9,54.7,62.3,72.6,72.9,72.8,74.7,76.1,78.9,81.2,82.1,81.9
Biofuels-Biodiesela,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.3,0.9,2.5,3.3,2.9,3,2.5,8.3,8.5,13.5,13.3,14.1,19.6,18.7,17.9
CH4,361.2,361.1,356.6,341.6,343.2,334.9,332.7,329,320.2,308,305.8,306.4,297.8,297.2,297.6,292,299.1,294.4,306.7,297.5,295.8,284.5,274.5,278.7,275.6,269.3,253.9,257.3,253.9
Natural Gas Systems,183.3,186.4,184.7,184.9,185.3,178.5,175.9,174.5,168.9,163.6,163.3,164.7,161.8,160.2,159.8,158.1,161.5,158.4,159.8,151.3,146.4,144.9,141.4,144.3,141.1,141.9,135.8,139.3,140
